keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,0,0.600027599999521,-4476.2902842,1,1,1,175,0,0,0,1,1,Left,1,1,Left,0,0,20,1,81,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.433379300000524,0.783358799999405,2,1,1,175,0,0,0,1,1,Left,1,1,Left,0,0,5,1,76,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.466791099999682,0.500059800000599,3,1,1,175,0,0,0,1,1,Right,1,1,Left,0,0,20,1,88,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.483460399999785,0.583390599999802,4,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,5,1,98,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.600058899999567,0.500031999999919,5,2,1,190,0,0,0,1,1,Right,1,2,Right,0,0,20,1,103,190,451,451,451,450,451,390,0,50,400,451,250,450
1,0,0.500035500000195,-4542.6547893,6,2,1,190,0,0,0,1,1,Left,2,1,Right,0,0,20,1,82,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.533345900000313,0.750085300000137,7,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,20,1,100,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.466710500000772,0.766713300000447,8,2,1,190,0,0,0,1,1,Left,2,2,Right,0,0,5,1,96,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.55003140000008,0.583370100000138,9,2,1,190,0,0,0,1,1,Left,2,2,Right,0,0,5,1,85,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.533342300000186,0.833484400000088,10,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,5,1,109,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.50004379999973,0.750044699999307,11,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,91,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.550076300000001,0.816710000000057,12,1,1,175,0,0,0,1,1,Right,2,2,Right,0,0,5,1,86,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.516709900000023,0.766739600000619,13,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,20,1,102,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.583365499999672,0.750027699999919,14,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,20,1,100,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.583346600000368,0.550204099999974,15,1,1,175,0,0,0,1,1,Right,1,1,Left,0,0,20,1,87,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.65002960000038,0.666692599999806,16,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,20,1,106,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.533364500000062,0.583371300000181,17,1,1,175,0,0,0,1,1,Right,1,2,Left,0,0,5,1,89,175,451,451,451,450,451,375,0,50,400,451,235,435
0,1,-4696.3663932,0.900032200000169,18,2,1,190,0,0,0,1,1,Left,1,1,Right,0,0,5,1,97,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.550028399999974,0.78336390000004,19,1,1,175,0,0,0,1,1,Left,1,1,Right,0,0,5,1,94,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.683373900000333,0.750156799999786,20,2,1,190,0,0,0,1,1,Right,1,2,Left,0,0,5,1,91,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.716685700000198,0.783354700000018,21,1,1,175,0,0,0,1,2,Left,1,2,Right,0,0,20,1,80,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.550033200000144,0.600015399999393,22,1,1,175,0,0,0,1,2,Right,1,2,Left,0,0,20,1,90,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.700040399999125,0.800044800000251,23,1,1,175,0,0,0,1,2,Left,2,1,Right,0,0,5,1,99,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.666738699999769,0.650005700000293,24,1,1,175,0,0,0,1,2,Left,2,2,Left,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.633354200000213,0.716699799999333,25,1,1,175,0,0,0,1,2,Right,2,1,Right,0,0,20,1,76,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.566654299999755,0.700006600000052,26,2,1,190,0,0,0,1,2,Left,2,1,Left,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.566713500000333,0.733373400000346,27,2,1,190,0,0,0,1,2,Left,1,2,Left,0,0,20,1,89,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.666693499999383,0.700026000000435,28,2,1,190,0,0,0,1,2,Right,2,2,Right,0,0,5,1,92,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.450042800000119,0.850024600000324,29,2,1,190,0,0,0,1,2,Left,1,1,Right,0,0,20,1,105,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.650029999999788,0.816882600000099,30,1,1,175,0,0,0,1,2,Right,1,2,Right,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.750009299999874,0.883365700000468,31,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,20,1,92,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.883347400000275,0.966694800000369,32,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,5,1,84,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.516707399999177,0.583366400000159,33,1,1,175,0,0,0,1,2,Left,1,1,Right,0,0,20,1,77,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.649988299999677,0.833356400000412,34,2,1,190,0,0,0,1,2,Right,2,1,Right,0,0,20,1,88,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.833302699999876,0.85002970000005,35,1,1,175,0,0,0,1,2,Right,2,1,Left,0,0,5,1,75,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.833383400000457,0.516725599999518,36,1,1,175,0,0,0,1,2,Left,2,1,Left,0,0,5,1,86,175,451,451,451,450,451,375,0,50,400,451,235,435
0,1,-4955.0744582,0.733367999999246,37,2,1,190,0,0,0,1,2,Right,1,1,Left,0,0,5,1,87,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.566683199999716,0.800013500000205,38,1,1,175,0,0,0,1,2,Left,2,2,Left,0,0,5,1,82,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.433364900000015,0.566703999999845,39,2,1,190,0,0,0,1,2,Left,1,2,Right,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.583363499999905,0.733360899999752,40,2,1,190,0,0,0,1,2,Right,2,2,Left,0,0,5,1,83,190,451,451,451,450,451,375,0,50,400,451,250,435
