trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.75,1.03509833901353,25,s1Rf,1,6004,836,4169,0
2,0,0,7503,833.625,1.18773493916542,25,s1Rf,1,16637,836,4170,0
3,0,0,7503,833.625,1.50594061730772,25,s1Rf,1,28403,837,4170,0
4,0,0,7503,833.625,1.06066017177982,25,s1Lf,1,40603,836,4169,0
5,0,0,7502,833.625,0.744023809142845,25,s1Rf,1,52303,835,4169,0
6,0,0,7502,833.625,0.744023809142845,25,s1Lf,1,63886,835,4169,0
7,0,0,7502,833.625,0.916125381312904,26,s1Lf,1,75636,835,4168,0
8,0,0,7503,833.625,1.18773493916542,25,s1Rf,1,88302,836,4169,0
9,0,0,7502,833.5,1.19522860933439,25,s1Lf,1,101485,836,4169,0
10,0,0,7502,833.5,1.19522860933439,26,s1Lf,1,113668,836,4169,0
11,0,0,7502,833.625,0.916125381312904,26,s1Lf,1,126851,835,4169,0
12,0,0,7502,833.625,0.916125381312904,25,s1Rf,1,138984,835,4169,0
13,0,0,7502,833.625,1.18773493916542,26,s1Rf,1,151367,836,4169,0
14,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,163400,835,4169,0
15,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,175350,835,4168,0
16,0,0,7503,833.625,1.18773493916542,25,s1Lf,1,187649,836,4170,0
17,0,0,7503,833.625,1.50594061730772,25,s1Lf,1,199765,837,4170,0
18,0,0,7503,833.625,1.50594061730772,25,s1Lf,1,210931,837,4170,0
19,0,0,7502,833.625,0.916125381312904,25,s1Rf,1,222548,835,4169,0
20,0,0,7502,833.625,1.18773493916542,25,s1Rf,1,233331,836,4169,0
21,0,0,7502,833.75,1.03509833901353,26,s2Rf,2,250714,836,4169,0
22,0,0,7503,833.625,1.18773493916542,25,s2Lf,2,260947,836,4170,0
23,0,0,7501,833.625,0.916125381312904,26,s2Lf,2,272764,835,4168,0
24,0,0,7503,833.625,1.59798980865694,25,s2Lf,2,283346,837,4170,0
25,0,0,7503,833.625,1.06066017177982,25,s2Lf,2,294429,836,4170,0
26,0,0,7502,833.625,0.916125381312904,26,s2Lf,2,305296,835,4169,0
27,0,0,7502,833.5,0.925820099772551,26,s2Rf,2,317146,835,4168,0
28,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,329845,836,4169,0
29,0,0,7502,833.625,0.916125381312904,26,s2Lf,2,341962,835,4168,0
30,0,0,7503,833.75,1.16496474502144,25,s2Rf,2,352861,836,4168,0
31,0,0,7501,833.5,1.0690449676497,27,s2Lf,2,363945,835,4168,0
32,0,0,7503,833.625,1.59798980865694,25,s2Lf,2,376043,837,4170,0
33,0,0,7502,833.625,1.30247018062932,25,s2Rf,2,388643,836,4169,0
34,0,0,7501,833.5,0.755928946018454,26,s2Rf,2,400327,834,4168,0
35,0,0,7502,833.5,0.755928946018454,25,s2Rf,2,412009,835,4169,0
36,0,0,7501,833.375,1.06066017177982,26,s2Rf,2,423876,835,4168,0
37,0,0,7503,833.625,1.06066017177982,24,s2Lf,2,434741,836,4169,0
38,0,0,7503,833.625,1.06066017177982,24,s2Rf,2,445107,836,4170,0
39,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,455674,836,4169,0
40,0,0,7502,833.625,0.916125381312904,25,s2Rf,2,468157,835,4170,0
