tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,3468740,7500,3468740,3476238,2,0,7498
2,3479372,7500,3479372,3486870,2,0,7498
3,3491140,7500,3491140,3498638,2,0,7498
4,3503340,7500,3503340,3510838,2,0,7498
5,3515040,7500,3515040,3522538,2,0,7498
6,3526624,7500,3526624,3534122,2,0,7498
7,3538374,7500,3538374,3545872,2,0,7498
8,3551040,7500,3551040,3558538,2,0,7498
9,3564224,7500,3564224,3571722,2,0,7498
10,3576408,7500,3576408,3583906,2,0,7498
11,3589592,7500,3589592,3597090,2,0,7498
12,3601726,7500,3601726,3609224,2,0,7498
13,3614110,7500,3614110,3621608,2,0,7498
14,3626144,7500,3626144,3633642,2,0,7498
15,3638094,7500,3638094,3645592,2,0,7498
16,3650394,7500,3650394,3657892,2,0,7498
17,3662510,7500,3662510,3670008,2,0,7498
18,3673678,7500,3673678,3681176,2,0,7498
19,3685294,7500,3685294,3692792,2,0,7498
20,3696078,7500,3696078,3703576,2,0,7498
21,3713462,7500,3713462,3720960,3,0,7498
22,3723696,2666,3723696,3726362,3,0,2666
22,3723696,4494,3726702,3731194,3,3006,7498
23,3735512,7432,3735512,3742944,3,0,7432
24,3746096,7500,3746096,3753594,3,0,7498
25,3757180,7500,3757180,3764678,3,0,7498
26,3768046,7500,3768046,3775544,3,0,7498
27,3779896,7500,3779896,3787394,3,0,7498
28,3792596,7500,3792596,3800094,3,0,7498
29,3804714,7500,3804714,3812212,3,0,7498
30,3815614,7500,3815614,3823112,3,0,7498
31,3826698,7388,3826698,3834086,3,0,7388
32,3838798,7500,3838798,3846296,3,0,7498
33,3851398,7500,3851398,3858896,3,0,7498
34,3863082,7500,3863082,3870580,3,0,7498
35,3874766,7500,3874766,3882264,3,0,7498
36,3886632,7500,3886632,3894130,3,0,7498
37,3897500,7500,3897500,3904998,3,0,7498
38,3907866,7500,3907866,3915364,3,0,7498
39,3918434,7500,3918434,3925932,3,0,7498
40,3930918,7500,3930918,3938418,3,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
